,cx1,cy1,cx2,cy2,cx3,cy3,cx4,cy4,cx5,cy5,cx6,cy6
239,997.1953125,498.609375,1141.932861328125,643.067138671875,1132.0726318359375,892.0725708007812,746.6341552734375,904.2066040039062,742.5,722.5,827.048583984375,589.6543579101562
240,997.1953125,498.609375,1142.239013671875,643.1152954101562,1132.0726318359375,892.0725708007812,746.3736572265625,904.1204223632812,742.5,722.5,826.0775756835938,590.0775756835938
241,997.1953125,498.609375,1142.39697265625,643.1634521484375,1132.0726318359375,892.0725708007812,746.3715209960938,904.12109375,742.5,722.5,826.0775756835938,590.0775756835938
242,997.0889892578125,498.8219909667969,1142.0,643.0350952148438,1132.0726318359375,892.0725708007812,745.9340209960938,904.5599365234375,742.933349609375,722.933349609375,826.2155151367188,590.2155151367188
243,998.2637329101562,499.3543701171875,1142.2767333984375,643.0885009765625,1131.1209716796875,893.1209716796875,746.0043334960938,904.5310668945312,742.125,722.875,826.6356201171875,589.6694946289062
244,997.55419921875,499.0762939453125,1142.279052734375,643.0746459960938,1132.0726318359375,892.0725708007812,746.668212890625,904.32958984375,742.9547119140625,723.1725463867188,826.5,589.9761962890625
245,998.2637329101562,499.3543701171875,1142.094970703125,642.9050903320312,1132.0726318359375,892.0725708007812,746.668212890625,904.32958984375,742.6590576171875,723.1727905273438,826.2155151367188,590.2155151367188
246,997.0889892578125,498.8219909667969,1142.4833984375,642.7306518554688,1132.0726318359375,892.0725708007812,746.163818359375,904.836181640625,742.8119506835938,723.0504760742188,826.0775756835938,590.0775756835938
247,997.55419921875,499.0762939453125,1142.094970703125,642.9050903320312,1131.943359375,892.2149047851562,746.6683959960938,904.3295288085938,742.7213134765625,723.0382690429688,826.41748046875,590.045654296875
248,997.55419921875,499.0762939453125,1142.0,643.0,1131.1065673828125,893.1065673828125,746.668212890625,904.32958984375,742.933349609375,722.933349609375,826.6415405273438,589.6651611328125
249,997.55419921875,499.0762939453125,1142.03271484375,642.8551635742188,1131.943359375,892.2149047851562,746.5834350585938,904.356201171875,743.028564453125,723.0950317382812,826.6415405273438,589.6651611328125
250,997.55419921875,499.0762939453125,1142.96728515625,642.1448364257812,1131.943359375,892.2149047851562,746.3529663085938,903.8717041015625,743.028564453125,723.0950317382812,826.0775756835938,590.0775756835938
251,997.55419921875,499.0762939453125,1142.2386474609375,642.49169921875,1132.0726318359375,892.0725708007812,746.5,903.5,743.1190185546875,723.6861572265625,827.048583984375,589.6543579101562
252,997.0889892578125,498.8219909667969,1142.6209716796875,642.6209716796875,1131.943359375,892.2149047851562,746.9107666015625,904.5639038085938,743.3720703125,723.7005615234375,827.5,589.3873291015625
253,997.0889892578125,498.8219909667969,1143.341552734375,641.273193359375,1131.32861328125,893.2190551757812,746.668212890625,904.32958984375,742.933349609375,722.933349609375,826.4892578125,589.9852294921875
254,998.0,499.5,1142.2568359375,642.5049438476562,1131.943359375,892.2149047851562,746.668212890625,904.32958984375,743.2899169921875,723.7100830078125,826.0775756835938,590.0775756835938
255,997.55419921875,499.0762939453125,1142.70849609375,642.854248046875,1131.943359375,892.2149047851562,746.3736572265625,904.1204223632812,742.5,722.5,827.5,589.3873291015625
256,997.55419921875,499.0762939453125,1142.42919921875,643.4656982421875,1131.77978515625,892.3950805664062,746.668212890625,904.32958984375,743.2083129882812,723.7916870117188,826.2155151367188,590.2155151367188
257,997.0,499.0,1142.5,642.0,1130.6993408203125,893.2657470703125,746.3736572265625,904.1204223632812,742.125,722.875,826.0775756835938,590.0775756835938
258,996.5,498.5,1141.394775390625,641.6052856445312,1130.2618408203125,892.3252563476562,745.0184936523438,903.6689453125,742.281494140625,722.718505859375,826.044189453125,589.3848876953125
259,997.0475463867188,497.1786804199219,1139.8338623046875,640.3672485351562,1129.8489990234375,891.4905395507812,744.93212890625,902.3828125,741.7938842773438,720.8473510742188,825.2745361328125,587.9566650390625
260,995.7362670898438,493.6456298828125,1139.5,637.5,1128.959716796875,890.9596557617188,745.6741943359375,901.2772827148438,742.3305053710938,718.6694946289062,825.1941528320312,585.7871704101562
261,995.3212280273438,487.72344970703125,1138.2462158203125,635.5,1129.1510009765625,889.5094604492188,746.7283325195312,899.51806640625,744.5,717.5,824.9676513671875,582.3001708984375
262,997.3212280273438,483.72344970703125,1137.2645263671875,632.1649780273438,1128.8306884765625,888.8306274414062,746.1769409179688,897.4642944335938,744.6159057617188,713.7814331054688,824.618896484375,578.3377075195312
263,997.290771484375,478.71697998046875,1137.0887451171875,629.0886840820312,1129.280517578125,887.280517578125,747.759521484375,895.1760864257812,745.5652465820312,710.95654296875,824.501708984375,574.2525634765625
264,1000.9259033203125,475.7901306152344,1136.241455078125,627.9090576171875,1129.5,886.5,747.5025024414062,893.10888671875,746.8051147460938,708.1948852539062,824.3074951171875,570.7498168945312
265,1001.5,471.5,1135.866455078125,625.8382568359375,1128.5400390625,886.4600219726562,747.8534545898438,891.1465454101562,746.8875122070312,704.63134765625,824.4545288085938,566.5454711914062
266,1001.5,467.5,1135.8209228515625,623.5836791992188,1128.5,886.0,747.5303955078125,888.604248046875,747.8040161132812,701.7478637695312,823.3316040039062,563.6847534179688
267,1005.0,465.5,1135.5,622.0,1129.5,884.5,748.4703979492188,887.1150512695312,750.0304565429688,700.6519775390625,822.8197631835938,560.673095703125
268,1006.941650390625,462.0583190917969,1135.8790283203125,619.8790283203125,1129.943603515625,883.9435424804688,749.4769897460938,885.0206298828125,750.5,698.0,823.5,557.1865844726562
269,1005.5,457.5,1135.43212890625,618.6214599609375,1129.0343017578125,884.0391845703125,749.9310913085938,883.6993408203125,751.0948486328125,695.9051513671875,822.1528930664062,555.0078125
270,1008.3983154296875,456.6016845703125,1134.8914794921875,617.5142211914062,1129.0,883.5,749.5925903320312,882.1435546875,752.8787841796875,694.8787841796875,822.5,552.5
